种群大小：50，变异率：0.02，类型：随机，迭代数：400，时间：12
迭代：254，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：255，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：256，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：257，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：258，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：259，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：260，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：261，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：262，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：263，时间：12，类型：随机，适应值：(13986.28,)，车辆：7，距离：136.4，满意度：100.0
迭代：264，时间：12，类型：随机，适应值：(13986.28,)，车辆：7，距离：136.4，满意度：100.0
迭代：265，时间：12，类型：随机，适应值：(13986.28,)，车辆：7，距离：136.4，满意度：100.0
迭代：266，时间：12，类型：随机，适应值：(13986.28,)，车辆：7，距离：136.4，满意度：100.0
迭代：267，时间：12，类型：随机，适应值：(13986.28,)，车辆：7，距离：136.4，满意度：100.0
迭代：268，时间：12，类型：随机，适应值：(13986.28,)，车辆：7，距离：136.4，满意度：100.0
迭代：269，时间：12，类型：随机，适应值：(13986.28,)，车辆：7，距离：136.4，满意度：100.0
迭代：270，时间：12，类型：随机，适应值：(13986.28,)，车辆：7，距离：136.4，满意度：100.0
迭代：271，时间：12，类型：随机，适应值：(13986.28,)，车辆：7，距离：136.4，满意度：100.0
迭代：272，时间：12，类型：随机，适应值：(13986.28,)，车辆：7，距离：136.4，满意度：100.0
迭代：273，时间：12，类型：随机，适应值：(13986.28,)，车辆：7，距离：136.4，满意度：100.0
迭代：274，时间：12，类型：随机，适应值：(13986.28,)，车辆：7，距离：136.4，满意度：100.0
迭代：275，时间：12，类型：随机，适应值：(13986.28,)，车辆：7，距离：136.4，满意度：100.0
迭代：276，时间：12，类型：随机，适应值：(13986.28,)，车辆：7，距离：136.4，满意度：100.0
