迭代：194，类型：随机，适应值：(9582.004,)，车辆：17，距离：2888.002，满意度：82.67
迭代：195，类型：随机，适应值：(9582.004,)，车辆：17，距离：2888.002，满意度：82.67
迭代：196，类型：随机，适应值：(9553.1948,)，车辆：17，距离：2873.597，满意度：82.67
迭代：197，类型：随机，适应值：(9553.1948,)，车辆：17，距离：2873.597，满意度：82.67
迭代：198，类型：随机，适应值：(9518.3684,)，车辆：17，距离：2856.184，满意度：82.67
迭代：199，类型：随机，适应值：(9518.3684,)，车辆：17，距离：2856.184，满意度：82.67
迭代：200，类型：随机，适应值：(9518.3684,)，车辆：17，距离：2856.184，满意度：82.67
迭代：201，类型：随机，适应值：(9518.3118,)，车辆：17，距离：2856.156，满意度：82.67
迭代：202，类型：随机，适应值：(9486.7226,)，车辆：17，距离：2860.361，满意度：82.87
迭代：203，类型：随机，适应值：(9486.7226,)，车辆：17，距离：2860.361，满意度：82.87
迭代：204，类型：随机，适应值：(9486.7226,)，车辆：17，距离：2860.361，满意度：82.87
迭代：205，类型：随机，适应值：(9486.7226,)，车辆：17，距离：2860.361，满意度：82.87
迭代：206，类型：随机，适应值：(9484.2944,)，车辆：17，距离：2859.147，满意度：82.87
迭代：207，类型：随机，适应值：(9477.3291,)，车辆：17，距离：2855.665，满意度：82.87
迭代：208，类型：随机，适应值：(9477.3291,)，车辆：17，距离：2855.665，满意度：82.87
迭代：209，类型：随机，适应值：(9468.2944,)，车辆：17，距离：2851.147，满意度：82.87
迭代：210，类型：随机，适应值：(9428.9525,)，车辆：17，距离：2831.476，满意度：82.87
迭代：211，类型：随机，适应值：(9428.9525,)，车辆：17，距离：2831.476，满意度：82.87
迭代：212，类型：随机，适应值：(9421.9872,)，车辆：17，距离：2827.994，满意度：82.87
迭代：213，类型：随机，适应值：(9412.9525,)，车辆：17，距离：2823.476，满意度：82.87
迭代：214，类型：随机，适应值：(9412.9525,)，车辆：17，距离：2823.476，满意度：82.87
迭代：215，类型：随机，适应值：(9380.1426,)，车辆：17，距离：2820.071，满意度：83.0
迭代：216，类型：随机，适应值：(9380.1426,)，车辆：17，距离：2820.071，满意度：83.0
迭代：217，类型：随机，适应值：(9371.1079,)，车辆：17，距离：2815.554，满意度：83.0
迭代：218，类型：随机，适应值：(9371.1079,)，车辆：17，距离：2815.554，满意度：83.0
迭代：219，类型：随机，适应值：(9371.1079,)，车辆：17，距离：2815.554，满意度：83.0
迭代：220，类型：随机，适应值：(9364.1426,)，车辆：17，距离：2812.071，满意度：83.0
迭代：221，类型：随机，适应值：(9364.1426,)，车辆：17，距离：2812.071，满意度：83.0
迭代：222，类型：随机，适应值：(9363.6059,)，车辆：17，距离：2811.803，满意度：83.0
迭代：223，类型：随机，适应值：(9361.7036,)，车辆：17，距离：2810.852，满意度：83.0
迭代：224，类型：随机，适应值：(9361.7036,)，车辆：17，距离：2810.852，满意度：83.0
迭代：225，类型：随机，适应值：(9347.6059,)，车辆：17，距离：2803.803，满意度：83.0
迭代：226，类型：随机，适应值：(9347.6059,)，车辆：17，距离：2803.803，满意度：83.0
迭代：227，类型：随机，适应值：(9347.6059,)，车辆：17，距离：2803.803，满意度：83.0
迭代：228，类型：随机，适应值：(9347.6059,)，车辆：17，距离：2803.803，满意度：83.0
迭代：229，类型：随机，适应值：(9347.6059,)，车辆：17，距离：2803.803，满意度：83.0
迭代：230，类型：随机，适应值：(9345.7699,)，车辆：17，距离：2802.885，满意度：83.0
迭代：231，类型：随机，适应值：(9316.3252,)，车辆：17，距离：2815.163，满意度：83.27
迭代：232，类型：随机，适应值：(9316.3252,)，车辆：17，距离：2815.163，满意度：83.27
迭代：233，类型：随机，适应值：(9307.349,)，车辆：17，距离：2770.675，满意度：82.87
迭代：234，类型：随机，适应值：(9307.349,)，车辆：17，距离：2770.675，满意度：82.87
迭代：235，类型：随机，适应值：(9237.6995,)，车辆：16，距离：2731.85，满意度：82.73
迭代：236，类型：随机，适应值：(9237.6995,)，车辆：16，距离：2731.85，满意度：82.73
迭代：237，类型：随机，适应值：(9237.6995,)，车辆：16，距离：2731.85，满意度：82.73
迭代：238，类型：随机，适应值：(9237.6995,)，车辆：16，距离：2731.85，满意度：82.73
迭代：239，类型：随机，适应值：(9211.3132,)，车辆：17，距离：2828.657，满意度：83.93
迭代：240，类型：随机，适应值：(9211.3132,)，车辆：17，距离：2828.657，满意度：83.93
迭代：241，类型：随机，适应值：(9211.3132,)，车辆：17，距离：2828.657，满意度：83.93
迭代：242，类型：随机，适应值：(9211.3132,)，车辆：17，距离：2828.657，满意度：83.93
迭代：243，类型：随机，适应值：(9211.3132,)，车辆：17，距离：2828.657，满意度：83.93
迭代：244，类型：随机，适应值：(9201.1553,)，车辆：16，距离：2733.578，满意度：82.93
迭代：245，类型：随机，适应值：(9201.1553,)，车辆：16，距离：2733.578，满意度：82.93
迭代：246，类型：随机，适应值：(9190.709,)，车辆：16，距离：2722.354，满意度：82.87
迭代：247，类型：随机，适应值：(9184.93,)，车辆：16，距离：2725.465，满意度：82.93
迭代：248，类型：随机，适应值：(9184.93,)，车辆：16，距离：2725.465，满意度：82.93
迭代：249，类型：随机，适应值：(9184.93,)，车辆：16，距离：2725.465，满意度：82.93
迭代：250，类型：随机，适应值：(9184.93,)，车辆：16，距离：2725.465，满意度：82.93
迭代：251，类型：随机，适应值：(9184.93,)，车辆：16，距离：2725.465，满意度：82.93
迭代：252，类型：随机，适应值：(9184.93,)，车辆：16，距离：2725.465，满意度：82.93
迭代：253，类型：随机，适应值：(8989.1597,)，车辆：16，距离：2761.58，满意度：84.27
迭代：254，类型：随机，适应值：(8989.1597,)，车辆：16，距离：2761.58，满意度：84.27
迭代：255，类型：随机，适应值：(8989.1597,)，车辆：16，距离：2761.58，满意度：84.27
迭代：256，类型：随机，适应值：(8989.1597,)，车辆：16，距离：2761.58，满意度：84.27
迭代：257，类型：随机，适应值：(8989.1597,)，车辆：16，距离：2761.58，满意度：84.27
迭代：258，类型：随机，适应值：(8964.6022,)，车辆：16，距离：2762.301，满意度：84.4
迭代：259，类型：随机，适应值：(8964.6022,)，车辆：16，距离：2762.301，满意度：84.4
迭代：260，类型：随机，适应值：(8880.2662,)，车辆：17，距离：2910.133，满意度：86.4
迭代：261，类型：随机，适应值：(8880.2662,)，车辆：17，距离：2910.133，满意度：86.4
迭代：262，类型：随机，适应值：(8880.2662,)，车辆：17，距离：2910.133，满意度：86.4
迭代：263，类型：随机，适应值：(8880.2662,)，车辆：17，距离：2910.133，满意度：86.4
迭代：264，类型：随机，适应值：(8880.2662,)，车辆：17，距离：2910.133，满意度：86.4
